"","participant_id","redcap_survey_identifier","consent_form_timestamp","age","wsuwork","studentyn","consent___1","consent_form_complete","explanationexample_timestamp","contact1","multiple1","agecontact1___0","agecontact1___1","agecontact1___2","agecontact1___3","maskcontact1","touchcontact1","contextcontact1___0","contextcontact1___1","contextcontact1___2","contextcontact1___3","contextcontact1___4","contextcontact1___5","locationcontact1","timecontact1","another","contact2","multiple2","agecontact2___0","agecontact2___1","agecontact2___2","agecontact2___3","maskcontact2","touchcontact2","contextcontact2___0","contextcontact2___1","contextcontact2___2","contextcontact2___3","contextcontact2___4","contextcontact2___5","locationcontact2","timecontact2","another_2","contact3","multiple3","agecontact3___0","agecontact3___1","agecontact3___2","agecontact3___3","maskcontact3","touchcontact3","contextcontact3___0","contextcontact3___1","contextcontact3___2","contextcontact3___3","contextcontact3___4","contextcontact3___5","locationcontact3","timecontact3","another_3","contact4","multiple4","agecontact4___0","agecontact4___1","agecontact4___2","agecontact4___3","maskcontact4","touchcontact4","contextcontact4___0","contextcontact4___1","contextcontact4___2","contextcontact4___3","contextcontact4___4","contextcontact4___5","locationcontact4","timecontact4","another_4","contact5","multiple5","agecontact5___0","agecontact5___1","agecontact5___2","agecontact5___3","maskcontact5","touchcontact5","contextcontact5___0","contextcontact5___1","contextcontact5___2","contextcontact5___3","contextcontact5___4","contextcontact5___5","timecontact5","locationcontact5","another_5","contact6","multiple6","agecontact6___0","agecontact6___1","agecontact6___2","agecontact6___3","maskcontact6","touchcontact6","contextcontact6___0","contextcontact6___1","contextcontact6___2","contextcontact6___3","contextcontact6___4","contextcontact6___5","locationcontact6","timecontact6","another_6","contact7","multiple7","agecontact7___0","agecontact7___1","agecontact7___2","agecontact7___3","maskcontact7","touchcontact7","contextcontact7___0","contextcontact7___1","contextcontact7___2","contextcontact7___3","contextcontact7___4","contextcontact7___5","locationcontact7","timecontact7","another_7","contact8","multiple8","agecontact8___0","agecontact8___1","agecontact8___2","agecontact8___3","maskcontact8","touchcontact8","contextcontact8___0","contextcontact8___1","contextcontact8___2","contextcontact8___3","contextcontact8___4","contextcontact8___5","locationcontact8","timecontact8","another_8","contact9","multiple9","agecontact9___0","agecontact9___1","agecontact9___2","agecontact9___3","maskcontact9","touchcontact9","contextcontact9___0","contextcontact9___1","contextcontact9___2","contextcontact9___3","contextcontact9___4","contextcontact9___5","locationcontact9","timecontact9","another_9","contact10","multiple10","agecontact10___0","agecontact10___1","agecontact10___2","agecontact10___3","maskcontact10","touchcontact10","contextcontact10___0","contextcontact10___1","contextcontact10___2","contextcontact10___3","contextcontact10___4","contextcontact10___5","locationcontact10","timecontact10","another_10","explanationexample_complete","additional_questions_timestamp","occupation","essentialjobyn","teachyn","campus_loc","teleworkyn","pullmanyn","npullman","typcialyn","ntypical","covid30","covid30result","covidmonth","covidmonthresult","positiveever","ill30yn","illsigns___0","illsigns___1","illsigns___2","illsigns___3","illsigns___4","illsigns___5","illsigns___6","illsigns___7","illsigns___8","illsigns___9","hcpyn","vaccination___0","vaccination___1","adultvax","adultnovax___1","adultnovax___2","adultnovax___3","childvax","childnovax___1","childnovax___2","childnovax___3","childnovax___4","previousyn","additional_questions_complete","Cont1Total","Cont2Total","Cont3Total","Cont4Total","Cont5Total","Cont6Total","Cont7Total","Cont8Total","Cont9Total","Cont10Total","Contact1location","Contact2location","Contact3location","Contact4location","Contact5location","Contact6location","Contact7location","Contact8location","Contact9location","Contact10location","Faculty","OccType"
"1",1,NA,"2021-11-12 16:01:42",1,1,0,1,2,"2021-11-12 16:08:37","Partner",1,0,0,1,0,Neither did,Yes,1,0,0,0,0,1,"Home and Car",3,1,"Students",5,0,1,0,0,We both did,No,0,1,0,0,0,0,NA,1,1,"Friends",8,0,1,1,1,We both did,Yes,0,0,1,0,0,0,NA,2,1,"Family Members",2,1,0,0,0,Neither did,Yes,1,0,0,0,0,0,NA,3,1,"Children and Friends",4,0,0,1,0,Neither did,Yes,1,0,1,0,0,1,3,NA,1,"Colleagues",2,0,0,1,0,We both did,No,0,1,0,0,0,0,NA,2,0,NA,NA,0,0,0,0,NA,NA,0,0,0,0,0,0,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,0,0,0,0,0,0,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,0,0,0,0,0,0,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,0,0,0,0,0,0,NA,NA,NA,2,"2021-11-12 16:10:13","Professor",1,0,0,1,1,NA,1,NA,0,NA,1,2,0,0,0,0,0,0,0,0,0,0,0,0,NA,1,1,1,0,0,0,4,0,0,0,0,2,2,1,5,8,2,4,2,NA,NA,NA,NA,1,2,3,1,1,2,NA,NA,NA,NA,"Faculty","Faculty"
"2",5,NA,"2021-11-12 16:06:44",1,1,0,1,2,"2021-11-12 16:15:42","Friends",1,0,0,0,1,Neither did,No,1,0,1,0,0,0,"Home",3,1,"Laborers",1,0,0,1,0,Neither did,No,1,0,0,0,0,0,"Home",2,1,"Students",1,0,0,1,0,We both did,No,0,1,0,0,0,0,"WSU Campus",3,1,"Students and Colleagues",90,0,1,1,0,I did not they did,No,0,1,0,0,0,0,"WSU Campus",3,1,"Students",26,0,1,1,0,We both did,No,0,1,0,0,0,0,3,"WSU Campus",0,NA,NA,0,0,0,0,NA,NA,0,0,0,0,0,0,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,0,0,0,0,0,0,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,0,0,0,0,0,0,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,0,0,0,0,0,0,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,0,0,0,0,0,0,NA,NA,NA,2,"2021-11-12 16:17:56","College of Nursing faculty",0,1,1,0,0,"Spokane",0,"Husband out of town.. Full class day.  Only in class parts of three days a week.",1,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,NA,1,1,1,0,0,0,4,0,0,0,0,2,2,1,1,1,90,26,NA,NA,NA,NA,NA,1,1,2,2,2,NA,NA,NA,NA,NA,"Faculty","Faculty"
"3",8,NA,"2021-11-12 16:10:12",1,1,0,1,2,"2021-11-12 16:13:52","Roommate",1,0,0,1,0,Neither did,Yes,1,0,0,0,0,0,"Home",3,0,NA,NA,0,0,0,0,NA,NA,0,0,0,0,0,0,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,0,0,0,0,0,0,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,0,0,0,0,0,0,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,0,0,0,0,0,0,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,0,0,0,0,0,0,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,0,0,0,0,0,0,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,0,0,0,0,0,0,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,0,0,0,0,0,0,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,0,0,0,0,0,0,NA,NA,NA,2,"2021-11-12 16:15:25","Physician administrator",0,1,1,0,0,"Spokane",1,NA,0,NA,1,2,0,0,0,0,0,0,0,0,0,0,0,0,NA,1,1,1,0,0,0,4,0,0,0,0,0,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Staff","Staff"
"4",9,NA,"2021-11-12 16:11:48",1,1,0,1,2,"2021-11-12 16:23:00","Family Members",3,1,0,1,0,Neither did,Yes,1,0,0,0,0,0,"Home",3,1,"Students",60,0,1,0,0,We both did,No,0,1,0,0,0,0,"WSU Pullman",2,1,"Students",3,0,1,1,0,We both did,No,0,1,0,0,0,0,"WSU Campus",3,1,"Patients",1,0,0,1,0,We both did,Yes,0,1,0,0,0,0,"WSU Campus",3,1,"Strangers",10,0,1,1,0,We both did,No,0,0,0,1,0,0,1,"Public Transit",0,NA,NA,0,0,0,0,NA,NA,0,0,0,0,0,0,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,0,0,0,0,0,0,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,0,0,0,0,0,0,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,0,0,0,0,0,0,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,0,0,0,0,0,0,NA,NA,NA,2,"2021-11-12 16:25:44","Academic education and research",0,1,0,1,1,NA,1,NA,0,NA,1,2,0,0,0,0,0,0,0,0,0,0,0,0,NA,1,1,1,0,0,0,3,1,0,0,0,1,2,3,60,3,1,10,NA,NA,NA,NA,NA,1,2,2,2,4,NA,NA,NA,NA,NA,"Staff","Upper Admin"
"5",10,NA,"2021-11-12 16:11:57",1,1,0,1,2,"2021-11-12 16:17:06","Spouse",1,0,0,1,0,Neither did,Yes,1,0,0,0,0,0,"Home",3,1,"Children",2,1,0,0,0,Neither did,Yes,1,0,0,0,0,0,"Home",3,1,"Strangers",2,1,0,0,0,We both did,No,0,0,0,1,0,0,"Car",1,1,"Colleagues",1,0,0,1,0,I did they did not,No,0,1,0,0,0,0,"WSU Spokane",0,0,NA,NA,0,0,0,0,NA,NA,0,0,0,0,0,0,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,0,0,0,0,0,0,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,0,0,0,0,0,0,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,0,0,0,0,0,0,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,0,0,0,0,0,0,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,0,0,0,0,0,0,NA,NA,NA,2,"2021-11-12 16:18:32","Associate professor",0,1,1,0,0,"Spokane",1,NA,0,NA,1,2,0,0,0,0,0,0,0,0,0,0,0,0,NA,1,1,1,0,0,0,1,0,0,0,0,0,2,1,2,2,1,NA,NA,NA,NA,NA,NA,1,1,4,2,NA,NA,NA,NA,NA,NA,"Faculty","Faculty"
"6",11,NA,"2021-11-12 16:12:03",1,1,0,1,2,"2021-11-12 16:14:51","Family Members",2,1,0,1,0,Neither did,No,1,0,0,0,0,0,"Home",3,1,"Students",60,0,1,0,0,We both did,No,0,1,0,0,0,0,"WSU Campus",2,0,NA,NA,0,0,0,0,NA,NA,0,0,0,0,0,0,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,0,0,0,0,0,0,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,0,0,0,0,0,0,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,0,0,0,0,0,0,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,0,0,0,0,0,0,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,0,0,0,0,0,0,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,0,0,0,0,0,0,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,0,0,0,0,0,0,NA,NA,NA,2,"2021-11-12 16:15:48","Associate prof",1,1,0,0,1,NA,1,NA,0,NA,1,2,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,1,1,0,0,0,1,0,0,0,0,0,2,2,60,NA,NA,NA,NA,NA,NA,NA,NA,1,2,NA,NA,NA,NA,NA,NA,NA,NA,"Faculty","Faculty"
"7",21,NA,"2021-11-12 16:31:16",1,1,0,1,2,"2021-11-12 16:37:19","Partner",1,0,0,1,0,Neither did,Yes,1,0,0,0,0,0,"Home",3,1,"Children",1,1,0,0,0,Neither did,No,1,0,0,0,0,0,"Home",3,1,"Laborers",1,0,1,0,0,We both did,NA,1,0,0,0,0,0,"Home",1,0,NA,NA,0,0,0,0,NA,NA,0,0,0,0,0,0,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,0,0,0,0,0,0,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,0,0,0,0,0,0,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,0,0,0,0,0,0,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,0,0,0,0,0,0,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,0,0,0,0,0,0,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,0,0,0,0,0,0,NA,NA,NA,2,"2021-11-12 16:39:02","Associate professor",0,0,5,0,0,"Lake Forest Park",1,NA,0,NA,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,NA,1,1,1,0,0,0,1,0,0,0,0,2,2,1,1,1,NA,NA,NA,NA,NA,NA,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,"Faculty","Faculty"
"8",22,NA,"2021-11-12 16:31:47",1,1,0,1,2,"2021-11-12 19:52:20","Partner",1,0,0,1,0,Neither did,Yes,1,0,0,1,0,0,"Home",3,1,"Laborers",1,0,0,1,0,Neither did,No,1,0,0,0,0,0,"Home",0,1,"Strangers",20,0,1,1,0,We both did,No,0,0,0,1,0,0,"Public Transit",2,1,"Colleagues",3,0,1,1,0,We both did,No,0,1,0,0,0,0,"WSU Campus",3,0,NA,NA,0,0,0,0,NA,NA,0,0,0,0,0,0,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,0,0,0,0,0,0,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,0,0,0,0,0,0,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,0,0,0,0,0,0,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,0,0,0,0,0,0,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,0,0,0,0,0,0,NA,NA,NA,2,"2021-11-12 19:53:10","Postdoctoral research associate",0,0,0,0,1,NA,1,NA,1,2,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,1,1,0,0,0,4,0,0,0,0,1,2,1,1,20,3,NA,NA,NA,NA,NA,NA,1,1,4,2,NA,NA,NA,NA,NA,NA,"Staff","Staff"
"9",24,NA,"2021-11-12 16:38:39",1,1,0,1,2,"2021-11-12 16:41:36","Partner",1,0,0,1,0,Neither did,Yes,1,0,0,0,0,0,"Home",3,1,"Friends",2,0,0,1,0,Neither did,No,1,0,0,0,0,0,"Home",0,1,"Laborers",3,0,0,1,0,We both did,No,0,0,0,0,1,0,"Store",0,0,NA,NA,0,0,0,0,NA,NA,0,0,0,0,0,0,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,0,0,0,0,0,0,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,0,0,0,0,0,0,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,0,0,0,0,0,0,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,0,0,0,0,0,0,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,0,0,0,0,0,0,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,0,0,0,0,0,0,NA,NA,NA,2,"2021-11-12 16:42:37","Professor",0,0,0,0,1,NA,1,NA,0,NA,1,2,0,0,0,0,0,0,0,0,0,0,0,0,NA,1,1,1,0,0,0,4,0,0,0,0,0,2,1,2,3,NA,NA,NA,NA,NA,NA,NA,1,1,5,NA,NA,NA,NA,NA,NA,NA,"Faculty","Faculty"
"10",27,NA,"2021-11-12 16:44:31",1,1,0,1,2,"2021-11-12 16:49:27","Spouse",1,0,0,1,0,Neither did,Yes,1,0,0,0,0,0,"Home",3,1,"Children",1,1,0,0,0,Neither did,Yes,1,0,0,0,0,0,"Home",3,1,"Students",35,0,1,0,0,We both did,No,0,1,0,0,0,0,"WSU Pullman",2,1,"Students",25,0,1,0,0,We both did,No,0,1,0,0,0,0,"WSU Pullman",2,1,"Colleagues",1,0,0,1,0,We both did,No,0,1,0,0,0,0,1,"WSU Pullman",1,"Colleagues",1,0,0,1,0,We both did,No,0,1,0,0,0,0,"WSU Pullman",0,1,"Colleagues",1,0,0,1,0,We both did,No,0,1,0,0,0,0,"WSU Pullman",1,1,"Colleagues",1,0,0,1,0,We both did,NA,0,1,0,0,0,0,"WSU Pullman",0,0,NA,NA,0,0,0,0,NA,NA,0,0,0,0,0,0,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,0,0,0,0,0,0,NA,NA,NA,2,"2021-11-12 16:50:26","Associate Professor, Career Track",0,1,0,2,1,NA,1,NA,0,NA,1,2,0,0,0,0,0,0,0,0,0,0,0,0,NA,1,1,1,0,0,0,1,0,0,0,0,2,2,1,1,35,25,1,1,1,1,NA,NA,1,1,2,2,2,2,2,2,NA,NA,"Faculty","Faculty"
